,Answer to Q1,Answer to Q2,Answer to Q3,Answer to Q4,Answer to Q5,Respondent's Age,Respondent's Occupation
,8,9,10,diiference-removing,no,52,doctor
,5,10,10,difference-honoring,yes,40,life-nurturer
,7,9,9,difference-honoring,yes,38,occupational therapist
,10,8,5,difference-denying,yes,41,lawyer
,10,10,10,difference-removing,no,19,Student
,8,9,8,difference-honoring,no,21,Student
,6,7,7,difference-denying,yes,39,Business Analyst
,9,10,9,difference-removing,no,22,Student
,4,7,10,difference-honoring,no,20,Student
,8,10,10,difference-removing,no,21,Student